日本語	英語	フランス語	ドイツ語	イタリア語	スペイン語	韓国語	中国語(簡)	中国語(繁)
トドロクツキ	Roaring Moon	Rugit-Lune	Donnersichel	Roaring Moon	Roaring Moon	고동치는달	轰鸣月	轟鳴月
テツノブジン	Iron Valiant	Garde-de-Fer	Eisenkrieger	Iron Valiant	Iron Valiant	무쇠무인	铁武者	鐵武者
コライドン	Koraidon	Koraidon	Koraidon	Koraidon	Koraidon	코라이돈	故勒顿	故勒頓
ミライドン	Miraidon	Miraidon	Miraidon	Miraidon	Miraidon	미라이돈	密勒顿	密勒頓
ウネルミナモ	Walking Wake	Serpente-Eau	Windewoge	Walking Wake	Walking Wake	굽이치는물결	波荡水	波盪水
テツノイサハ	Iron Leaves	Vert-de-Fer	Eisenblatt	Iron Leaves	Iron Leaves	무쇠잎새	铁斑叶	鉄斑葉
カミッチュ	Dipplin	Pomdramour	Sirapfel	Dipplin	Dipplin	과미르	裹蜜虫	裹蜜蟲
チャデス	Poltchageist	Poltchageist	Mortcha	Poltchageist	Poltchageist	차데스	斯魔茶	斯魔茶
ヤバソチャ	Sinistcha	Théffroyable	Fatalitcha	Sinistcha	Sinistcha	그우린차	来悲粗茶	來悲粗茶
イイネイヌ	Okidogi	Félicanis	Boninu	Okidogi	Okidogi	조타구	够赞狗	夠讚狗
マシマシラ	Munkidori	Fortusimia	Benesaru	Munkidori	Munkidori	이야후	愿增猿	願增猿
キチキギス	Fezandipiti	Favianos	Beatori	Fezandipiti	Fezandipiti	기로치	吉雉鸡	吉雉雞
オーガポン	Ogerpon	Ogerpon	Ogerpon	Ogerpon	Ogerpon	오거폰	厄鬼椪	厄鬼椪
ブリジュラス	Archaludon	Pondralugon	Briduradon	Archaludon	Archaludon	브리두라스	铝钢桥龙	鋁鋼橋龍
カミツオロチ	Hydrapple	Pomdorochi	Hydrapfel	Hydrapple	Hydrapple	과미드라	蜜集大蛇	蜜集大蛇
ウガツホムラ	Gouging Fire	Feu-Perçant	Keilflamme	Gouging Fire	Gouging Fire	꿰뚫는화염	破空焰	破空焰
タケルライコ	Raging Bolt	Ire-Foudre	Furienblitz	Raging Bolt	Raging Bolt	날뛰는우레	猛雷鼓	猛雷鼓
テツノイワオ	Iron Boulder	Roc-de-Fer	Eisenfels	Iron Boulder	Iron Boulder	무쇠암석	铁磐岩	鐵磐岩
テツノカシラ	Iron Crown	Chef-de-Fer	Eisenhaupt	Iron Crown	Iron Crown	무쇠감투	铁头壳	鐵頭殼
テラパゴス	Terapagos	Terapagos	Terapagos	Terapagos	Terapagos	테라파고스	太乐巴戈斯	太樂巴戈斯
モモワロウ	Pecharunt	Pêchaminus	Infamomo	Pecharunt	Pecharunt	복숭악동	桃歹郎	桃歹郎
